content,n_words,clean,count_clean,review_without_stopwords,count_without_stopwords
buy..... hassle paying..... hassle delivery..... hassle please make the procedure easy,11,buy hassle paying hassle delivery hassle please make the procedure easy,11,buy hassle paying hassle delivery hassle please make procedure easy,10
useful apps,2,useful apps,2,useful apps,2
can't even login,3,cant even login,3,cant even login,3
very helpful,2,very helpful,2,helpful,1
nice,1,nice,1,nice,1
cool app for online doctor consultation.,6,cool app for online doctor consultation,6,cool app online doctor consultation,5
"fast response, and provide accurate information",6,fast response and provide accurate information,6,fast response provide accurate information,5
"the ease and flexibility of choosing health workers according to our wishes is indeed amazing 👍! plus, we can connect personal insurance or family members so that medical and drug costs can be directly covered by insurance!",37,the ease and flexibility of choosing health workers according to our wishes is indeed amazing plus we can connect personal insurance or family members so that medical and drug costs can be directly covered by insurance,36,ease flexibility choosing health workers according wishes indeed amazing plus connect personal insurance family members medical drug costs directly covered insurance,21
just be cozy,3,just be cozy,3,cozy,1
good app,2,good app,2,good app,2
it's very helpful app,4,its very helpful app,4,helpful app,2
"if possible, don't contact the driver via sms on your cellphone, just contact the driver directly via the application.",19,if possible dont contact the driver via sms on your cellphone just contact the driver directly via the application,19,possible dont contact driver via sms cellphone contact driver directly via application,12
"register for the vaccine via halodoc. when i registered, it said sinovac vaccine. when i got the injection, i was given astrazeneca without any prior notification. i found out after i got suspicious and received an sms for the second vaccine schedule which was 12 weeks away. what was worse was that the cs insisted that the sinovac vaccine was according to the system data. meanwhile, i found out that i was given astrazeneca when i called peduli lindungi. what was worse was that the cs told me to ignore the information from peduli lindungi. all the cs chat records are still there.",103,register for the vaccine via halodoc when  registered it said sinovac vaccine when  got the injection  was given astrazeneca without any prior notification  found out after  got suspicious and received an sms for the second vaccine schedule which was weeks away what was worse was that the cs insisted that the sinovac vaccine was according to the system data meanwhile  found out that  was given astrazeneca when  called peduli lindungi what was worse was that the cs told me to ignore the information from peduli lindungi all the cs chat records are still there,94,register vaccine via halodoc registered said sinovac vaccine got injection given astrazeneca without prior notification found got suspicious received sms second vaccine schedule weeks away worse cs insisted sinovac vaccine according system data meanwhile found given astrazeneca called peduli lindungi worse cs told ignore information peduli lindungi cs chat records,50
